fecha,hora,modo,activo,tipo_senal,precio,nivel,stop,barrida,detalle
2026-07-27,16:01,vigilante,Oro (futuro),cerca de soporte,4079.6,3963.3,3903.85,True,origen del ultimo tramo
2026-07-27,16:01,vigilante,Plata (futuro),cerca de soporte,58.87,57.25,56.39,True,origen del ultimo tramo
2026-07-27,16:01,vigilante,Mineras BTC WGMI,cerca de soporte,50.67,49.8,49.06,True,media 200 sesiones
2026-07-27,16:01,vigilante,Microsoft,cerca de soporte,390.66,379.31,373.62,True,minimo repetido
2026-07-27,16:01,vigilante,Alphabet,cerca de soporte,328.66,324.32,319.45,True,media 200 sesiones
2026-07-27,16:01,vigilante,Amazon,cerca de soporte,232.08,226.22,222.82,True,minimo repetido
2026-07-27,16:01,vigilante,Amazon,soporte perforado,232.08,234.64,,,media 200 sesiones
2026-07-27,16:01,vigilante,Meta,cerca de soporte,601.64,588.46,579.64,True,minimo repetido
2026-07-27,16:01,vigilante,"Espacio (sigue UFO, compra JEDI)",soporte perforado,43.46,45.3,,,media 200 sesiones
2026-07-27,16:01,vigilante,"Cloud (sigue WCLD, compra WCLD.L)",soporte perforado,33.93,34.21,,,minimo repetido
2026-07-27,16:01,vigilante,"Alimentacion (sigue PBJ, compra IUCS)",cerca de soporte,48.26,47.34,46.63,True,media 200 sesiones
2026-07-27,23:33,vigilante,Alphabet,cerca de soporte,326.56,323.94,319.08,True,media 200 sesiones
2026-07-27,23:33,vigilante,Amazon,soporte perforado,231.39,234.58,,,media 200 sesiones
2026-07-27,23:33,vigilante,"Espacio (sigue UFO, compra JEDI)",soporte perforado,43.89,45.28,,,media 200 sesiones
2026-07-28,23:29,vigilante,Mineras BTC WGMI,soporte perforado,49.2,49.79,,,media 200 sesiones
2026-07-28,23:29,vigilante,Alphabet,cerca de soporte,333.71,324.75,319.88,True,media 200 sesiones
2026-07-28,23:29,vigilante,Amazon,soporte perforado,230.86,234.66,,,media 200 sesiones
2026-07-28,23:29,vigilante,"Espacio (sigue UFO, compra JEDI)",soporte perforado,43.83,45.31,,,media 200 sesiones
2026-07-28,23:29,vigilante,"Cloud (sigue WCLD, compra WCLD.L)",cerca de soporte,34.78,34.21,33.69,True,minimo repetido
2026-07-29,23:30,vigilante,Nasdaq 100,cerca de soporte,27192.31,26471.69,26074.61,False,media 200 sesiones
2026-07-29,23:30,vigilante,Nvidia,soporte perforado,190.01,192.99,,,media 200 sesiones
2026-07-29,23:30,vigilante,Microsoft,cerca de soporte,390.54,379.31,373.62,True,minimo repetido
2026-07-29,23:30,vigilante,Meta,soporte perforado,585.61,588.46,,,minimo repetido
2026-07-29,23:30,vigilante,"Espacio (sigue UFO, compra JEDI)",cerca de soporte,42.86,42.13,41.5,False,origen del ultimo tramo
2026-07-30,23:32,vigilante,Amazon,cerca de soporte,235.5,234.75,231.23,True,media 200 sesiones
2026-07-30,23:32,vigilante,Meta,soporte perforado,539.03,544.61,,,minimo repetido
2026-07-30,23:32,vigilante,"Cloud (sigue WCLD, compra WCLD.L)",cerca de soporte,34.94,34.21,33.69,True,minimo repetido
2026-07-31,23:29,vigilante,Meta,cerca de soporte,556.71,544.61,536.45,True,minimo repetido
2026-07-31,23:29,vigilante,"Alimentacion (sigue PBJ, compra IUCS)",cerca de soporte,47.71,46.58,45.88,True,minimo repetido
2026-08-03,23:34,vigilante,Meta,cerca de soporte,590.24,588.46,579.64,True,minimo repetido
2026-08-03,23:34,vigilante,"Espacio (sigue UFO, compra JEDI)",cerca de soporte,45.45,45.41,44.73,True,media 200 sesiones
2026-08-03,23:34,vigilante,"Alimentacion (sigue PBJ, compra IUCS)",cerca de soporte,47.45,47.41,46.7,True,media 200 sesiones
